Year,Rank,Fight,Event,Date,Result,Is UFC
2023,1,Makhachev vs. Volkanovski,UFC 284,Feb 2023,1,True
2023,2,Neal vs. Rakhmonov,UFC 285,Mar 2023,2,True
2023,3,Gaethje vs. Fiziev,UFC 286,Mar 2023,3,True
2023,4,Teixeira vs. Hill,UFC 283,Jan 2023,4,True
2023,5,Hooker vs. Turner,UFC 290,Jul 2023,5,True
2023,6,Pereira vs. Adesanya II,UFC 287,Apr 2023,6,True
2023,7,Shevchenko vs. Grasso,UFC 285,Mar 2023,7,True
2023,8,Poirier vs. Gaethje II,UFC 291,Jul 2023,8,True
2023,9,Rodriguez vs. Emmett,UFC 284,Feb 2023,9,True
2023,10,Holloway vs. Jung,UFC Fight Night,Aug 2023,10,True
2023,11,Usman vs. Chimaev,UFC 294,Oct 2023,11,True
2023,12,Vergara vs. Lacerda,UFC Fight Night,Mar 2023,12,True
2023,13,Jones vs. Gane,UFC 285,Mar 2023,13,True
2023,14,Figueiredo vs. Moreno IV,UFC 283,Jan 2023,14,True
2023,15,Moreno vs. Pantoja III,UFC 290,Jul 2023,15,True
2023,16,Grasso vs. Shevchenko II,UFC Fight Night,Sep 2023,16,True
2023,17,Oliveira vs. Dariush,UFC 289,Jun 2023,17,True
2023,18,Yusuff vs. Barboza,UFC Fight Night,Oct 2023,18,True
2023,19,Font vs. Yanez,UFC 287,Apr 2023,19,True
2023,20,Pavlovich vs. Aspinall,UFC 295,Nov 2023,20,True
2023,21,Procházka vs. Pereira,UFC 295,Nov 2023,21,True
2023,22,Kape vs. dos Santos,UFC 293,Sep 2023,22,True
2023,23,Sterling vs. O'Malley,UFC 292,Aug 2023,23,True
2023,24,Saint-Denis vs. Bonfim,UFC Fight Night,Jul 2023,24,True
2023,25,Frevola vs. Saint-Denis,UFC 295,Nov 2023,25,True
2023,26,Collard vs. Burgos,PFL 9,Aug 2023,26,False
2023,27,McKinney vs. Bonfim,UFC 283,Jan 2023,27,True
2023,28,Garcia vs. Costa,UFC Fight Night,Dec 2023,28,True
2023,29,Alvarez vs. Perry,BKFC 56,Dec 2023,29,False
2023,31,Miller vs. Butler,UFC Fight Night,Jun 2023,31,True
2023,30,Lawler vs. Price,UFC 290,Jul 2023,30,True
2023,32,Saint-Denis vs. Moisés,UFC Fight Night,Sep 2023,32,True
2023,33,Fairtex vs. Anderson,ONE Fight Night 10,May 2023,33,False
2023,34,Barboza vs. Quarantillo,UFC Fight Night,Apr 2023,34,True
2023,35,Aldana vs. Rosa,UFC 296,Dec 2023,35,True
2023,36,Garcia vs. Nuerdanbieke,UFC 287,Apr 2023,36,True
2023,37,Peek vs. Mariscal,UFC on ABC 5,Jun 2023,37,True
2023,38,Ferguson vs. Green,UFC 291,Jul 2023,38,True
2023,39,Lewis vs. Rogério de Lima,UFC 291,Jul 2023,39,True
2023,40,Kutateladze vs. Brener,UFC Fight Night,Jul 2023,40,True
2023,41,Edwards vs. Usman III,UFC 286,Mar 2023,41,True
2023,42,Brown vs. McGee,UFC on ABC 4,May 2023,42,True
2023,43,Brown vs. Maddalena,UFC 284,Feb 2023,43,True
2023,45,YokkaoSaenchai vs. Chor.Hapayak,One Friday Fights 30,Aug 2023,45,False
2023,44,Vettori vs. Cannonier,UFC Fight Night,Jun 2023,44,True
2023,46,Bravo vs. Hansen,One Friday Fights 40,Nov 2023,46,False
2023,48,Jenkins vs. Pinedo,PFL 7,Aug 2023,48,False
2023,47,Soldić vs. Kadestam,ONE Fight Night 10,May 2023,47,False
2023,49,Ige vs. Jackson,UFC Fight Night,Jan 2023,49,True
2023,50,Gibson vs. Katona,UFC 292,Aug 2023,50,True
2023,51,Volkanovski vs. Rodriguez,UFC 290,Jul 2023,51,True
2023,52,Dawson vs. Green,UFC Fight Night,Oct 2023,52,True
2023,53,Alvarez vs. Mendes,BKFC 41,Apr 2023,53,False
2023,54,Godinez vs. Reed,UFC Fight Night,Sep 2023,54,True
2023,56,Ribas vs. Pinheiro,UFC Fight Night,Nov 2023,56,True
2023,55,Bonfim vs. Dalby,UFC Fight Night,Nov 2023,55,True
2023,58,Perry vs. Rockhold,BKFC 41,Apr 2023,58,False
2023,57,Knight vs. Holobaugh,The Ultimate Fighter 31,Mar 2023,57,False
2023,59,Andrade vs. Blanchfield,UFC Fight Night,Feb 2023,59,True
2023,61,Krylov vs. Spann,UFC Fight Night,Mar 2023,61,True
2023,60,Means vs. Fialho,UFC Fight Night,Sep 2023,60,True
2023,62,Jitmuangnon vs. Tabares,ONE Fight Night 10,May 2023,62,False
2023,63,Kang vs. Quiñonez,UFC Fight Night,Jun 2023,63,True
2023,65,Andrade vs. Dern,UFC 295,Nov 2023,65,True
2023,64,Maddalena vs. Hafez,UFC Fight Night,Jul 2023,64,True
2023,67,Le vs. Freymanov,ONE Fight Night 15,Oct 2023,67,False
2023,66,Assunção vs. Grant,UFC Fight Night,Mar 2023,66,True
2023,68,Fairtex vs. Ham,ONE Fight Night 14,Sep 2023,68,False
2023,69,Kiatchachanan vs. Jitmuangnon,One Friday Fights 30,Aug 2023,69,False
2023,70,Jubli vs. Breeden,UFC 294,Oct 2023,70,True
2023,71,Clark vs. Nzechukwu,UFC 288,May 2023,71,True
2023,73,Apichat vs. Jitmuangnon,One Friday Fights 30,Aug 2023,73,False
2023,72,Dober vs. Glenn,UFC Fight Night,Oct 2023,72,True
2023,75,Brown vs. Algeo,UFC Fight Night,Apr 2023,75,True
2023,74,Holland vs. Ponzinibbio,UFC 287,Apr 2023,74,True
2023,76,Stots vs. Mix,Bellator 295,Apr 2023,76,False
2023,78,Nurmagomedov vs. Henderson,Bellator 292,Mar 2023,78,False
2023,77,Tuivasa vs. Volkov,UFC 293,Sep 2023,77,True
2023,79,Eblen vs. Edwards,Bellator 299,Sep 2023,79,False
2023,80,Means vs. Morono,UFC on ABC 4,May 2023,80,True
2023,81,Lee vs. Fakhretdinov,UFC Fight Night,Jul 2023,81,True
2023,82,Motta vs. Torres,UFC Fight Night,Jun 2023,82,True
2023,83,Larkin vs. Berkhamov,Bellator 290,Feb 2023,83,False
2023,84,Northcutt vs. Mujtaba,ONE Fight Night 10,May 2023,84,False
2023,85,Herman vs. Cummings,UFC Fight Night,Apr 2023,85,True
2023,86,Dober vs. Frevola,UFC 288,May 2023,86,True
2023,87,Cyborg vs. Zingano,Bellator 300,Oct 2023,87,False
2023,88,Bautista vs. Cannetti,UFC Fight Night,Mar 2023,88,True
2023,89,Adesanya vs. Strickland,UFC 293,Sep 2023,89,True
2023,90,Doğan vs. Yu,One Friday Fights 42,Nov 2023,90,False
2023,91,Roberts vs. Parsons,UFC Fight Night,Jul 2023,91,True
2023,92,Martinez vs. Yanez,UFC Fight Night,Oct 2023,92,True
2023,94,Marquez vs. Barriault,UFC 285,Mar 2023,94,True
2023,93,Loughnane vs. Pinedo,PFL 4,Jun 2023,93,False
2023,95,Dodson vs. Ridge,BKFC 48,Aug 2023,95,False
2023,96,Ribas vs. Barber,UFC on ABC 5,Jun 2023,96,True
2023,97,Sundell vs. Rodrigues,ONE Fight Night 14,Sep 2023,97,False
2023,98,Banchamek vs. Allazov,ONE Fight Night 6,Jan 2023,98,False
2023,99,Smith vs. Rountree Jr.,UFC Fight Night,Dec 2023,99,True
2023,101,Taveras vs. Romious,Contender Series 2023,Oct 2023,101,False
2023,100,Brunson vs. Du Plessis,UFC 285,Mar 2023,100,True
2023,102,Landwehr vs. Lingo,UFC Fight Night,Mar 2023,102,True
2023,103,Allen vs. Silva,UFC on ABC 5,Jun 2023,103,True
2023,104,Cunningham vs. Nguyen,Contender Series 2023,Sep 2023,104,False
2023,105,Kinoshita vs. Fugitt,UFC Fight Night,Feb 2023,105,True
2023,106,Jitmuangnon vs. Kiatmoo9,One Friday Fights 34,Sep 2023,106,False
2023,107,Sumudaerji vs. Elliott,UFC Fight Night,Dec 2023,107,True
2023,108,Costa vs. Knight,Gamebred Bareknuckle MMA,Nov 2023,108,False
2023,109,O'Neill vs. Lipski da Silva,UFC 296,Dec 2023,109,True
2023,111,Muniz vs. Allen,UFC Fight Night,Feb 2023,111,True
2023,110,Sor Dechapan vs. Zolfaghari,One Friday Fights 40,Nov 2023,110,False
2023,112,Matsumoto vs. Tanner,Contender Series 2023,Sep 2023,112,False
2023,113,Nolan vs. Grad,Contender Series 2023,Aug 2023,113,False
2023,114,Rakhmonov vs. Thompson,UFC 296,Dec 2023,114,True
2023,115,Gonzalez vs. Peek,UFC Fight Night,Feb 2023,115,True
2023,116,Nakamura vs. Kazama,UFC Fight Night,Feb 2023,116,True
2023,117,McGrillen-Evans vs. Saydoshurov,PFL Europe 2,Jul 2023,117,False
2023,118,Shurkevich vs. Kikuiri,Bellator 295,Apr 2023,118,False
2023,119,Elliott vs. Brito,Contender Series 2023,Aug 2023,119,False
2023,120,Garbrandt vs. Kelleher,UFC 296,Dec 2023,120,True
2023,121,Rothwell vs. Copeland,BKFC 41,Apr 2023,121,False
2023,122,Royval vs. Nicolau,UFC Fight Night,Apr 2023,122,True
2023,123,Leonardo vs. Silva,UFC Fight Night,May 2023,123,True
2023,124,Leal vs. Zawada,PFL 3,Apr 2023,124,False
2023,125,Shahbazyan vs. Hernandez,UFC Fight Night,May 2023,125,True
2023,127,Nurmagomedov vs. Barcelos,UFC Fight Night,Jan 2023,127,True
2023,126,Nam vs. Silva,UFC Fight Night,Mar 2023,126,True
2023,128,Kopylov vs. Ribeiro,UFC 291,Jul 2023,128,True
2023,129,Rodrigues vs. Ross,UFC 284,Feb 2023,129,True
2023,130,Miller vs. Santos,UFC Fight Night,Aug 2023,130,True
2023,131,Njokuani vs. Oleksiejczuk,UFC Fight Night,Aug 2023,131,True
2023,132,Hayisaer vs. Borshchev,UFC Fight Night,May 2023,132,True
2023,133,Salvador vs. Oki,Contender Series 2023,Aug 2023,133,False
2023,134,Renato Jr. vs. Aslan,Contender Series 2023,Aug 2023,134,False
2023,135,Aliskerov vs. Hawes,UFC 288,May 2023,135,True
2023,136,Pickett vs. Nickal,UFC 285,Mar 2023,136,True
2023,137,Jindrová vs. Leibrock,PFL 2,Apr 2023,137,False
2023,138,Green vs. Battle,UFC on ABC 4,May 2023,138,True
2023,139,Pitbull vs. Suzuki,Super RIZIN 2,Jul 2023,139,False
2023,140,Clark vs. Lisboa,UFC on ABC 4,May 2023,140,True
2023,141,Buntan vs. Martin,ONE Fight Night 10,May 2023,141,False
2023,142,Nunes vs. Aldana,UFC 289,Jun 2023,142,True
2023,143,Golm vs. James,Bellator 293,Mar 2023,143,False
2023,145,McCann vs. Stoliarenko,UFC Fight Night,Jul 2023,145,True
2023,144,Yan vs. Dvalishvili,UFC Fight Night,Mar 2023,144,True
2023,146,Johnson vs. Moraes III,ONE Fight Night 10,May 2023,146,False
2023,147,Erosa vs. Padilla,UFC Fight Night,Apr 2023,147,True
2023,148,Rua vs. Potieria,UFC 283,Jan 2023,148,True
2023,149,Pinedo vs. Braga II,PFL 10,Nov 2023,149,False
2023,150,Sor Terapat vs. Wor Wantawee,One Friday Fights 36,Oct 2023,150,False
2023,152,Strickland vs. Magomedov,UFC Fight Night,Jul 2023,152,True
2023,151,Zaleski vs. Fakhretdinov,UFC Fight Night,Nov 2023,151,True
2023,153,Por Yenying vs. Panther,One Friday Fights 35,Sep 2023,153,False
2023,154,Haggerty vs. de Andrade,ONE Fight Night 16,Nov 2023,154,False
2023,155,Lineker vs. Kim,ONE Fight Night 13,Aug 2023,155,False
2023,156,Moroz vs. Silva II,UFC 292,Aug 2023,156,True
2023,157,Taira vs. Hernandez,UFC Fight Night,Dec 2023,157,True
2023,158,Holobaugh vs. Hubbard,UFC 292,Aug 2023,158,True
2023,159,Muniz vs. Craig,UFC Fight Night,Jul 2023,159,True
2023,160,Montalvan vs. Nunez,Combate Global,Sep 2023,160,False
2023,161,Bonfim vs. Lazzez,UFC 283,Jan 2023,161,True
2023,162,Sermpornwiwat vs. Kiatsongrit,One Friday Fights 34,Sep 2023,162,False
2023,163,Andrade vs. Murphy,UFC 283,Jan 2023,163,True
2023,164,Wor.Wantawee vs. MU Den,One Friday Fights 39,Nov 2023,164,False
2023,165,Sadykhov vs. Borshchev,UFC 295,Nov 2023,165,True
2023,166,Wells vs. Harris,UFC Fight Night,Aug 2023,166,True
2023,167,Por Yenying vs. Pakornpornsurin,One Friday Fights 41,Nov 2023,167,False
2023,168,Ogasawara vs. Tor.Sangtiennoi,One Friday Fights 46,Dec 2023,168,False
2023,169,Sor.Jor.Piek Uthai vs. Aminipour,One Friday Fights 46,Dec 2023,169,False
2023,170,Or.Pimonsri vs. Balyko,One Friday Fights 33,Sep 2023,170,False
2023,172,Soriano vs. Kopylov,UFC Fight Night,Jan 2023,172,True
2023,171,Ward vs. Babene,Bellator 299,Sep 2023,171,False
2023,173,Patterson vs. Ashmouz,UFC 286,Mar 2023,173,True
2023,174,Crute vs. Menifield,UFC 284,Feb 2023,174,True
2023,175,Holm vs. Bueno Silva,UFC Fight Night,Jul 2023,175,True
2023,178,Alves vs. Dalby,UFC 283,Jan 2023,178,True
2023,177,Tafa vs. Porter,UFC 284,Feb 2023,177,True
2023,176,Potieria vs. Bellato,UFC Fight Night,Dec 2023,176,True
2023,179,Vergara vs. Salvador,UFC 291,Jul 2023,179,True
2023,180,Evloev vs. Lopes,UFC 288,May 2023,180,True
2023,181,Brundage vs. Vieira,UFC Fight Night,Apr 2023,181,True
2023,183,Alvarado vs. Brown,BKFC 41,Apr 2023,183,False
2023,182,Brennan vs. Almeida,Bellator 298,Aug 2023,182,False
2023,184,Pavlovich vs. Blaydes,UFC Fight Night,Apr 2023,184,True
2023,185,Onama vs. Santos,UFC on ABC 5,Jun 2023,185,True
2023,186,Gastelum vs. Curtis,UFC 287,Apr 2023,186,True
2023,187,Cosce vs. Urbina,UFC Fight Night,May 2023,187,True
2023,188,Filho vs. Barez,UFC Fight Night,Jul 2023,188,True
2023,189,Magomedkerimov vs. Egli,PFL 3,Apr 2023,189,False
2023,190,Malott vs. Fugitt,UFC 289,Jun 2023,190,True
2023,191,Mullarkey vs. Naimov,UFC Fight Night,Jun 2023,191,True
2023,192,Holloway vs. Allen,UFC Fight Night,Apr 2023,192,True
2023,193,Jacoby vs. Nzechukwu,UFC Fight Night,Aug 2023,193,True
2023,194,Danaa vs. Hiestand,UFC Fight Night,Apr 2023,194,True
2023,195,Jauregui vs. Gomes,UFC 290,Jul 2023,195,True
2023,196,Pearce vs. Brito,UFC Fight Night,Nov 2023,196,True
2023,197,Ditcheva vs. Scatizzi,PFL Europe 4,Dec 2023,197,False
2023,198,Nedoh vs. Powell,PFL Europe 4,Dec 2023,198,False
2023,199,Turman vs. Gooden,UFC Fight Night,Dec 2023,199,True
2023,201,Vieira vs. Pennington,UFC Fight Night,Jan 2023,201,True
2023,200,Or Kwanmuang vs. Şen,One Friday Fights 45,Dec 2023,200,False
2023,202,Tate vs. Avila,UFC Fight Night,Dec 2023,202,True
2023,203,Turrey vs. Smolkova,United Fight League 1,Feb 2023,203,False
2023,204,Ruziboev vs. Ferreira,UFC Fight Night,Jul 2023,204,True
2023,205,Razak Alhassan vs. Ribeiro,UFC Fight Night,Jan 2023,205,True
2023,206,Prates vs. Ramirez,Contender Series 2023,Aug 2023,206,False
2023,207,Lookboonmee vs. Reed,UFC 284,Feb 2023,207,True
2023,208,Isakov vs. Mederos,Contender Series 2023,Oct 2023,208,False
2023,209,Pérez vs. Cannetti,Combate Global,Jun 2023,209,False
2023,210,Nong-O vs. Carrillo,One Friday Fights 46,Dec 2023,210,False
2023,212,Ige vs. Landwehr,UFC 289,Jun 2023,212,True
2023,211,Castillo vs. Hammond,Combate Global,Dec 2023,211,False
2023,213,Rozenstruik vs. Almeida,UFC on ABC 4,May 2023,213,True
2023,214,Collard vs. Nishikawa,PFL 3,Apr 2023,214,False
2023,215,Newson vs. McGhee,UFC Fight Night,Apr 2023,215,True
2023,216,Ring vs. Pajuelo,Contender Series 2023,Aug 2023,216,False
2023,218,Culibao vs. Baghdasaryan,UFC 284,Feb 2023,218,True
2023,217,Jackson vs. Veretennikov,United Fight League 2,May 2023,217,False
2023,219,Ribeiro vs. Goodwin,United Fight League 1,Feb 2023,219,False
2023,221,Hamlet vs. Kasanganay,PFL 7,Aug 2023,221,False
2023,220,La N Sang vs. Fan,ONE Fight Night 10,May 2023,220,False
2023,223,Moraes vs. Braga,PFL 4,Jun 2023,223,False
2023,222,Gamrot vs. Turner,UFC 285,Mar 2023,222,True
2023,224,Oliveira vs. Madrigal,Contender Series 2023,Sep 2023,224,False
2023,226,Collard vs. Ray,PFL 6,Jun 2023,226,False
2023,225,Song vs. Simón,UFC Fight Night,Apr 2023,225,True
2023,227,Sy vs. Mitchell,PFL 6,Jun 2023,227,False
2023,228,Salamone vs. Nedoh,PFL Europe 3,Sep 2023,228,False
2023,229,Ferreira vs. Goltsov,PFL 10,Nov 2023,229,False
2023,230,Wade vs. Kudo,PFL 4,Jun 2023,230,False
2023,231,Willis vs. Kuramagomedov,Bellator 297,Jun 2023,231,False
2023,232,Juusola vs. Jenkins,PFL 3,Apr 2023,232,False
2023,233,Mlambo vs. Kakhorov,PFL Europe 4,Dec 2023,233,False
2023,234,Aspinall vs. Tybura,UFC Fight Night,Jul 2023,234,True
2023,235,Cutelaba vs. Boser,UFC Fight Night,Apr 2023,235,True
2023,236,Sy vs. Al-Silawi,PFL 3,Apr 2023,236,False
2023,237,Umalatov vs. Taylor,PFL 3,Apr 2023,237,False
2023,238,Barlow vs. Forest,Contender Series 2023,Sep 2023,238,False
2023,239,Acosta vs. Juaneda,Combate Global,Aug 2023,239,False
2023,240,Chor.Worapon vs. Singha Mawynn,One Friday Fights 45,Dec 2023,240,False
2023,241,Fairtex vs. Younes Rabah,ONE Fight Night 17,Dec 2023,241,False
2023,242,Menshikov vs. Chafi,ONE Fight Night 17,Dec 2023,242,False
2023,243,Pico vs. Carvalho,Bellator 299,Sep 2023,243,False
2023,245,Mokaev vs. Filho,UFC 286,Mar 2023,245,True
2023,244,Chokheli vs. Homasi,Bellator 299,Sep 2023,244,False
2023,246,Carmouche vs. Macfarlane,Bellator 300,Oct 2023,246,False
2023,247,Ferreira vs. Scheffel,PFL 5,Jun 2023,247,False
2023,248,Goltsov vs. De Castro,PFL 5,Jun 2023,248,False
2023,249,Doumbé vs. Zébo,PFL Europe 3,Sep 2023,249,False
2023,250,McGrillen-Evans vs. Kulucan,PFL Europe 1,Mar 2023,250,False
2023,402,Araujo vs. Ribas,UFC 285,Mar 2023,402,True
2023,401,Jacoby vs. Murzakanov,UFC Fight Night,Apr 2023,401,True
2023,400,Stamann vs. Silva de Andrade,UFC on ABC 4,May 2023,400,True
2023,406,Johnson vs. Ferreira,UFC Fight Night,May 2023,406,True
2023,405,Cappelozza vs. Scheffel II,PFL 2,Apr 2023,405,False
2023,404,Weidman vs. Tavares,UFC 292,Aug 2023,404,True
2023,407,Johnson vs. Williams,PFL Challenger Series 2023,Mar 2023,407,False
2023,410,Nam vs. Maksum,UFC Fight Night,Jul 2023,410,True
2023,409,Emmett vs. Mitchell,UFC 296,Dec 2023,409,True
2023,408,Jorand vs. Perez,Combate Global,Jul 2023,408,False
2023,413,Rodriguez vs. Machado Garry,UFC on ABC 4,May 2023,413,True
2023,412,Yizha vs. Lee,UFC Fight Night,Feb 2023,412,True
2023,411,Ali Walsh vs. Figueroa,PFL 2,Apr 2023,411,False
2023,415,Tsarukyan vs. Silva,UFC Fight Night,Jun 2023,415,True
2023,414,Ronderos vs. Carpenter,UFC Fight Night,Feb 2023,414,True
2023,416,Nunes vs. Fairn,UFC 283,Jan 2023,416,True
2023,418,Rodriguez vs. Saaiman,UFC Fight Night,Oct 2023,418,True
2023,417,Edwards vs. Covington,UFC 296,Dec 2023,417,True
2023,419,Cuamba vs. Vogel,Contender Series 2023,Aug 2023,419,False
2023,422,Magny vs. Machado Garry,UFC 292,Aug 2023,422,True
2023,421,Riley vs. Lööf,Cage Warriors 160,Sep 2023,421,False
2023,420,Por Kobkua vs. F.A.Group,One Friday Fights 44,Dec 2023,420,False
2023,423,Rubin vs. Guthrie,Invicta FC 53,May 2023,423,False
2023,425,Gaforov vs. Asatryan,ACA 161,Aug 2023,425,False
2023,424,Anglickas vs. Yagshimuradov,Bellator 292,Mar 2023,424,False
2023,426,Topuria vs. Segas,WOW 9,May 2023,426,False
2023,427,Yamauchi vs. Arai,Shooto 2023 Vol.7,Nov 2023,427,False
2020,1,Zhang vs. Jędrzejczyk,UFC 248,Mar 2020,1,True
2020,2,Poirier vs. Hooker,UFC Fight Night,Jun 2020,2,True
2020,3,Ferguson vs. Gaethje,UFC 249,May 2020,3,True
2020,4,Figueiredo vs. Moreno,UFC 256,Dec 2020,4,True
2020,5,Felder vs. Hooker,UFC on ESPN+ 26,Feb 2020,5,True
2020,6,Emmett vs. Burgos,UFC Fight Night,Jun 2020,6,True
2020,7,Miocic vs. Cormier III,UFC 252,Aug 2020,7,True
2020,8,Luque vs. Price II,UFC 249,May 2020,8,True
2020,9,Yan vs. Aldo,UFC 251,Jul 2020,9,True
2020,10,Dariush vs. Klose,UFC 248,Mar 2020,10,True
2020,11,Andrade vs. Namajunas II,UFC 251,Jul 2020,11,True
2020,12,Benavidez vs. Figueiredo,UFC on ESPN+ 27,Feb 2020,12,True
2020,13,Jones vs. Reyes,UFC 247,Feb 2020,13,True
2020,14,Lee vs. Oliveira,UFC on ESPN+ 28,Mar 2020,14,True
2020,15,Elliott vs. Askarov,UFC 246,Jan 2020,15,True
2020,16,Krause vs. Giles,UFC 247,Feb 2020,16,True
2020,17,Quarantillo vs. Carlyle,UFC Fight Night,May 2020,17,True
2020,18,Hermansson vs. Vettori,UFC Fight Night,Dec 2020,18,True
2020,19,Kasanganay vs. Buckley,UFC Fight Night,Oct 2020,19,True
2020,20,Elkins vs. Landwehr,UFC Fight Night,May 2020,20,True
2020,21,Barboza vs. Ige,UFC Fight Night,May 2020,21,True
2020,22,Fili vs. Yusuff,UFC 246,Jan 2020,22,True
2020,23,Kara-France vs. Royval,UFC 253,Sep 2020,23,True
2020,24,Nurmagomedov vs. Gaethje,UFC 254,Oct 2020,24,True
2020,25,Munhoz vs. Edgar,UFC Fight Night,Aug 2020,25,True
2020,26,McGregor vs. Cerrone,UFC 246,Jan 2020,26,True
2020,27,Song vs. Vera,UFC Fight Night,May 2020,27,True
2020,28,Oezdemir vs. Procházka,UFC 251,Jul 2020,28,True
2020,29,Pettis vs. Ferreira,UFC 246,Jan 2020,29,True
2020,30,Stephens vs. Kattar,UFC 249,May 2020,30,True
2020,31,Barber vs. Modafferi,UFC 246,Jan 2020,31,True
2020,32,Overeem vs. Harris,UFC Fight Night,May 2020,32,True
2020,33,Landwehr vs. Burns,UFC on ESPN+ 24,Jan 2020,33,True
2020,34,Allen vs. Daukaus,UFC Fight Night,Jun 2020,34,True
2020,35,Woodson vs. Erosa,UFC Fight Night,Jun 2020,35,True
2020,37,Cerrone vs. Pettis II,UFC 249,May 2020,37,True
2020,36,Rosa vs. Mitchell,UFC 249,May 2020,36,True
2020,38,Lamas vs. Algeo,UFC Fight Night,Aug 2020,38,True
2020,39,Johns vs. Gravely,UFC on ESPN+ 24,Jan 2020,39,True
2020,40,Cosce vs. Palatnikov,UFC 255,Nov 2020,40,True
2020,41,Dodson vs. Wood,UFC on ESPN+ 25,Feb 2020,41,True
2020,43,Formiga vs. Moreno,UFC on ESPN+ 28,Mar 2020,43,True
2020,42,Volkanovski vs. Holloway II,UFC 251,Jul 2020,42,True
2020,44,Kamaka III vs. Kelley,UFC 252,Aug 2020,44,True
2020,45,Holtzman vs. Miller,UFC on ESPN+ 25,Feb 2020,45,True
2020,46,Budd vs. Cyborg,Bellator 238,Jan 2020,46,False
2020,47,Ige vs. Bektić,UFC 247,Feb 2020,47,True
2020,48,Allen vs. Lentz,UFC on ESPN+ 24,Jan 2020,48,True
2020,50,Oleinik vs. Greene,UFC 246,Jan 2020,50,True
2020,49,Verzosa vs. Stoliarenko,Invicta FC,Mar 2020,49,False
2020,51,Winn vs. Meerschaert,UFC 248,Mar 2020,51,True
2020,53,Santos vs. Teixeira,UFC Fight Night,Nov 2020,53,True
2020,52,Whittaker vs. Till,UFC Fight Night,Jul 2020,52,True
2020,54,Valiev vs. Jones,UFC Fight Night,Aug 2020,54,True
2020,55,Trinaldo vs. Herbert,UFC Fight Night,Jul 2020,55,True
2020,56,Bueno Silva vs. Moroz,UFC on ESPN+ 28,Mar 2020,56,True
2020,57,Waterson-Gomez vs. Hill,UFC Fight Night,Sep 2020,57,True
2020,58,Scroggin vs. Overvig,Shamrock FC 328,Feb 2020,58,False
2020,59,Riku vs. Takenaka,Overheat Boxers Night 93,Sep 2020,59,False
2020,60,Salčák vs. Polivka,Oktagon Underground 1,May 2020,60,False
2020,61,Hromek vs. Polivka,Oktagon,Jul 2020,61,False
2020,62,Kenney vs. Wood,UFC 254,Oct 2020,62,True
2020,63,Watanabe vs. Horiguchi,BOM WAVE 03,Dec 2020,63,False
2020,64,Watanabe vs. Akihiko,BOM WAVE 01,Jun 2020,64,False
2020,65,Takiguchi vs. YOUTA,BOM WAVE 03,Dec 2020,65,False
2020,66,Takahashi vs. Yasuda,KROSS×OVER 10,Dec 2020,66,False
2020,68,Zuzák vs. Polivka,Oktagon 16,Sep 2020,68,False
2020,67,Ogawa vs. Sen,KROSS×OVER 10,Dec 2020,67,False
2020,70,Umezawa vs. Tsuboi,BOM WAVE 03,Dec 2020,70,False
2020,69,Kawano vs. Matsuura,Overheat Boxers Night 93,Sep 2020,69,False
2020,71,Chibana vs. Kato,BOM WAVE 01,Jun 2020,71,False
2020,72,Nakahira vs. Park,KROSS×OVER 10,Dec 2020,72,False
2020,74,Park vs. Imai,KROSS×OVER 8,Feb 2020,74,False
2020,73,Tomizawa vs. Ishizuki,KROSS×OVER 8,Feb 2020,73,False
2020,75,Nakamura vs. Morioka,BOM WAVE 02,Oct 2020,75,False
2020,76,Pacio vs. Silva,ONE Championship,Jan 2020,76,False
2020,77,Ishizuki vs. Ashikaga,KROSS×OVER 9,Oct 2020,77,False
2020,78,Hasegawa vs. Fujimoto,KROSS×OVER 8,Feb 2020,78,False
2020,80,Sejima vs. Furuyama,BOM WAVE 02,Oct 2020,80,False
2020,79,Blaydes vs. dos Santos,UFC on ESPN+ 24,Jan 2020,79,True
2020,81,Ovchynnikova vs. Semal,Road to WWFC,Mar 2020,81,False
2020,82,De La Rosa vs. Araujo,UFC Fight Night,Sep 2020,82,True
2020,83,Tenma vs. Wada,BOM WAVE 02,Oct 2020,83,False
2020,85,Masanobu vs. Tomizawa,KROSS×OVER 10,Dec 2020,85,False
2020,84,dos Anjos vs. Chiesa,UFC on ESPN+ 24,Jan 2020,84,True
2020,87,Overvig vs. Needy,Cage of Honor 79,Jun 2020,87,False
2020,86,Smith vs. Teixeira,UFC Fight Night,May 2020,86,True
2020,88,Nagao vs. Kato,Overheat Boxers Night 93,Sep 2020,88,False
2020,89,Kamishiro vs. Ishiguro,KROSS×OVER 8,Feb 2020,89,False
2020,90,Ishida vs. Umeda,KROSS×OVER 9,Oct 2020,90,False
2020,91,Danna vs. Ishida,KROSS×OVER 8,Feb 2020,91,False
2020,93,Usui vs. Hosogoe,KROSS×OVER 8,Feb 2020,93,False
2020,92,Ewell vs. Martinez,UFC 247,Feb 2020,92,True
2020,94,Takahashi vs. Hasegawa,KROSS×OVER 9,Oct 2020,94,False
2020,95,Tenma vs. Yoshinari,BOM WAVE 03,Dec 2020,95,False
2020,97,Yoshinari vs. Iimura,BOM WAVE 02,Oct 2020,97,False
2020,96,Mustafaev vs. Riddell,UFC on ESPN+ 26,Feb 2020,96,True
2020,98,Kai vs. Watanabe,BOM WAVE 02,Oct 2020,98,False
